# Release      Date     Base Pairs   Entries
    3    Dec 1982         680338       606
   14    Nov 1983        2274029      2427
   20    May 1984        3002088      3665
   24    Sep 1984        3323270      4135
   25    Oct 1984        3368765      4175
   26    Nov 1984        3689752      4393
   32    May 1985        4211931      4954
   36    Sep 1985        5204420      5700
   40    Feb 1986        5925429      6642
   42    May 1986        6765476      7416
   44    Aug 1986        8442357      8823
   46    Nov 1986        9615371      9978
   48    Feb 1987       10961380     10913
   50    May 1987       13048473     12534
   52    Aug 1987       14855145     14020
   53    Sep 1987       15514776     14584
   54    Dec 1987       16752872     15465
   55    Mar 1988       19156002     17047
   56    Jun 1988       20795279     18226
   57    Sep 1988       22019698     19044
   57.1  Oct 1988       23800000     20579
   58    Dec 1988       24690876     21248
   59    Mar 1989       26382491     22479
   60    Jun 1989       31808784     26317
   61    Sep 1989       34762585     28791
   62    Dec 1989       37183950     31229
   63    Mar 1990       40127752     33377
   64    Jun 1990       42495893     35100
   65    Sep 1990       49179285     39533
   66    Dec 1990       51306092     41057
   67    Mar 1991       55169276     43903
   68    Jun 1991       65868799     51418
   69    Sep 1991       71947426     55627
   70    Dec 1991       77337678     58952
   71    Mar 1992       83894652     65100
   72    Jun 1992       92160761     71280
   73    Sep 1992      101008486     78608
   74    Dec 1992      120242234     97084
   75    Feb 1993      126212259    106684
   76    Apr 1993      129968355    111911
   77    Jun 1993      138904393    120134
   78    Aug 1993      147215633    131328
   79    Oct 1993      157152442    143492
   80    Dec 1993      163802597    150744
   81    Feb 1994      173261500    162946
   82    Apr 1994      180589455    169896
   83    Jun 1994      191393939    182753
   84    Aug 1994      201815802    196703
   85    Oct 1994      217102462    215273
   86    Dec 1994      230485928    237775
   87    Feb 1995      248499214    269478
   88    Apr 1995      286094556    352414
   89    Jun 1995      318624568    425211
   90    Aug 1995      353713490    492483
   91    Oct 1995      384939485    555694
   92    Dec 1995      425860958    620765
   93    Feb 1996      463758833    685693
   94    Apr 1996      499127741    744295
   95    Jun 1996      551750920    835487
   96    Aug 1996      602072354    920588
   97    Oct 1996      651972984    1021211
   98    Dec 1996      730552938    1114581
   99    Feb 1997      786898138    1192505
   100   Apr 1997      842864309    1274747
   101   Jun 1997      966993087    1491069
   102   Aug 1997     1053474516    1610848
   103   Oct 1997     1160300687    1765847
   104   Dec 1997     1258290513    1891953
   105   Feb 1998     1372368913    2042325
   106   Apr 1998     1502542306    2209232
   107   Jun 1998     1622041465    2355928
   108   Aug 1998     1797137713    2532359
   109   Oct 1998     2008761784    2837897
   110   Dec 1998     2162067871    3043729
   111   Apr 1999     2569578208    3525418
   112   Jun 1999     2974791993    4028171
   113   Aug 1999     3400237391    4610118
   114   Oct 1999     3841163011    4864570
   115   Dec 1999     4653932745    5354511
   116   Feb 2000     5805414935    5691170
   117   Apr 2000     7376080723    6215002
   118   Jun 2000     8604221980    7077491
   119   Aug 2000     9545724824    8214339
   120   Oct 2000    10335692655    9102634
   121   Dec 2000    11101066288    10106023
   122   Feb 2001    11720120326    10896781
   123   Apr 2001    12418544023    11545572
   124   Jun 2001    12973707065    12243766
   125   Aug 2001    13543364296    12813516
   126   Oct 2001    14396883064    13602262
   127   Dec 2001    15849921438    14976310
   128   Feb 2002    17089143893    15465325
   129   Apr 2002    19072679701    16769983
   130   Jun 2002    20648748345    17471130
   131   Aug 2002    22616937182    18197119
   132   Oct 2002    26525934656    19808101
   133   Dec 2002    28507990166    22318883
   134   Feb 2003    29358082791    23035823
   135   Apr 2003    31099264455    24027936
   136   Jun 2003    32528249295    25592865
   137   Aug 2003    33865022251    27213748
   138   Oct 2003    35599621471    29819397
   139   Dec 2003    36553368485    30968418
   140   Feb 2004    37893844733    32549400
   141   Apr 2004    38989342565    33676218
   142   Jun 2004    40325321348    35532003
   143   Aug 2004    41808045653    37343937
   144   Oct 2004    43194602655    38941263
   145   Dec 2004    44575745176    40604319
   146   Feb 2005    46849831226    42734478
   147   Apr 2005    48235738567    44202133
   148   Jun 2005    49398852122    45236251
   149   Aug 2005    51674486881    46947388
   150   Oct 2005    53655236500    49152445
   151   Dec 2005    56037734462    52016762
   152   Feb 2006    59750386305    54584635
   153   Apr 2006    61582143971    56620500
   154   Jun 2006    63412609711    58890345
   155   Aug 2006    65369091950    61132599
   156   Oct 2006    66925938907    62765195
   157   Dec 2006    69019290705    64893747
   158   Feb 2007    71292211453    67218344
   159   Apr 2007    75742041056    71802595
   160   Jun 2007    77248690945    73078143
   161   Aug 2007    79525559650    76146236
   162   Oct 2007    81563399765    77632813
   163   Dec 2007    83874179730    80388382
   164   Feb 2008    85759586764    82853685
   165   Apr 2008    89172350468    85500730
   166   Jun 2008    92008611867    88554578
   167   Aug 2008    95033791652    92748599
   168   Oct 2008    97381682336    96400790
   169   Dec 2008    99116431942    98868465
   170   Feb 2009   101467270308   101815678
   171   Apr 2009   102980268709   103335421
   172   Jun 2009   105277306080   106073709
   173   Aug 2009   106533156756   108431692
   174   Oct 2009   108560236506   110946879
   175   Dec 2009   110118557163   112910950
   176   Feb 2010   112326229652   116461672
   177   Apr 2010   114348888771   119112251
   178   Jun 2010   115624497715   120604423
   179   Aug 2010   117476523128   122941883
   180   Oct 2010   118551641086   125764384
   181   Dec 2010   122082812719   129902276
   182   Feb 2011   124277818310   132015054
   183   Apr 2011   126551501141   135440924
   184   Jun 2011   129178292958   140482268
   185   Aug 2011   130671233801   142284608
   186   Oct 2011   132067413372   144458648
   187   Dec 2011   135117731375   146413798
   188   Feb 2012   137384889783   149819246
   189   Apr 2012   139266481398   151824421
   190   Jun 2012   141343240755   154130210
   191   Aug 2012   143081765233   156424033
   192   Oct 2012   145430961262   157889737
   193   Dec 2012   148390863904   161140325
   194   Feb 2013   150141354858   162886727
   195   Apr 2013   151178979155   164136731
   196   Jun 2013   152599230112   165740164
   197   Aug 2013   154192921011   167295840
   198   Oct 2013   155176494699   168335396
   199   Dec 2013   156230531562   169331407
   200   Feb 2014   157943793171   171123749
   201   Apr 2014   159813411760   171744486
   202   Jun 2014   161822845643   173353076
   203   Aug 2014   165722980375   174108750
   204   Oct 2014   181563676918   178322253
   205   Dec 2014   184938063614   179295769
   206   Feb 2015   187893826750   181336445
   207   Apr 2015   189739230107   182188746
   208   Jun 2015   193921042946   185019352
   209   Aug 2015   199823644287   187066846
   210   Oct 2015   202237081559   188372017
   211   Dec 2015   203939111071   189232925
   212   Feb 2016   207018196067   190250235
   213   Apr 2016   211423912047   193739511
   214   Jun 2016   213200907819   194463572
   215   Aug 2016   217971437647   196120831
   216   Oct 2016   220731315250   197390691
   217   Dec 2016   224973060433   198565475
   218   Feb 2017   228719437638   199341377
   219   Apr 2017   231824951552   200877884
   220   Jun 2017   234997362623   201663568
   221   Aug 2017   240343378258   203180606
   222   Oct 2017   244914705468   203953682
   223   Dec 2017   249722163594   206293625
   224   Feb 2018   253630708098   207040555
   225   Apr 2018   260189141631   208452303
   226   Jun 2018   263957884539   209775348
   227   Aug 2018   260806936411   208831050 (Section 1.3.1 of GB 227.0 release notes explains decrease)
   228   Oct 2018   279668290132   209656636
   229   Dec 2018   285688542186   211281415
   230   Feb 2019   303709510632   212260377
   231   Apr 2019   321680566570   212775414
   232   Jun 2019   329835282370   213383758
   233   Aug 2019   366733917629   213865349
   234   Oct 2019   386197018538   216763706
   235   Dec 2019   388417258009   215333020 (Section 1.3.2 of GB 235.0 release notes explains decrease)
   236   Feb 2020   399376854872   216214215
   237   Apr 2020   415770027949   216531829
   238   Jun 2020   427823258901   217122233
   239   Aug 2020   654057069549   218642238
   240   Oct 2020   698688094046   219055207
   241   Dec 2020   723003822007   221467827
   242   Feb 2021   776291211106   226241476
   243   Apr 2021   832400799511   227123201
   244   Jun 2021   866009790959   227888889
   245   Aug 2021   940513260726   231982592
   246   Oct 2021  1014763752113   233642893
   247   Dec 2021  1053275115030   234557297
