# Release      Date     Base Pairs     Entries
  129    Apr 2002      692266338      172768
  130    Jun 2002     3267608441      397502
  131    Aug 2002     3848375582      427771
  132    Oct 2002     3892435593      434224
  133    Dec 2002     6702372564      597042
  134    Feb 2003     6705740844      597345
  135    Apr 2003     6897080355      596818
  136    Jun 2003     6992663962      607155
  137    Aug 2003     7144761762      593801
  138    Oct 2003     8662242833     1683437
  139    Dec 2003    14523454868     2547094
  140    Feb 2004    22804145885     3188754
  141    Apr 2004    24758556215     4112532
  142    Jun 2004    25592758366     4353890
  143    Aug 2004    28128611847     4427773
  144    Oct 2004    30871590379     5285276
  145    Dec 2004    35009256228     5410415
  146    Feb 2005    38076300084     6111782
  147    Apr 2005    39523208346     6685746
  148    Jun 2005    46767232565     8711924
  149    Aug 2005    53346605784    10276161
  150    Oct 2005    56162807647    11169448
  151    Dec 2005    59638900034    12088491
  152    Feb 2006    63183065091    12465546
  153    Apr 2006    67488612571    13573144
  154    Jun 2006    78858635822    17733973
  155    Aug 2006    80369977826    17960667
  156    Oct 2006    81127502509    18500772
  157    Dec 2006    81611376856    18540918
  158    Feb 2007    86043478524    19421576
  159    Apr 2007    93022691867    23446831
  160    Jun 2007    97102606459    23718400
  161    Aug 2007   101964323738    25384475
  162    Oct 2007   102003045298    25354041
  163    Dec 2007   106505691578    26177471
  164    Feb 2008   108635736141    27439206
  165    Apr 2008   110500961400    26931049
  166    Jun 2008   113639291344    39163548
  167    Aug 2008   118593509342    40214247
  168    Oct 2008   136085973423    46108952
  169    Dec 2008   141374971004    48394838
  170    Feb 2009   143797800446    49036947
  171    Apr 2009   144522542010    48948309
  172    Jun 2009   145959997864    49063546
  173    Aug 2009   148165117763    48443067
  174    Oct 2009   149348923035    48119301
  175    Dec 2009   158317168385    54076973
  176    Feb 2010   163991858015    57134273
  177    Apr 2010   165536009514    58361599
  178    Jun 2010   167725292032    58592700
  179    Aug 2010   169253846128    58994334
  180    Oct 2010   175339059129    59397637
  181    Dec 2010   177385297156    59608311
  182    Feb 2011   190034462797    62349795
  183    Apr 2011   191401393188    62715288
  184    Jun 2011   200487078184    63735078
  185    Aug 2011   208315831132    64997137
  186    Oct 2011   218666368056    68330215
  187    Dec 2011   239868309609    73729553
  188    Feb 2012   261370512675    78656704
  189    Apr 2012   272693351548    80905298
  190    Jun 2012   287577367116    82076779
  191    Aug 2012   308196411905    84020064
  192    Oct 2012   333881846451    86480509
  193    Dec 2012   356002922838    92767765
  194    Feb 2013   390900990416   103101291
  195    Apr 2013   418026593606   110509314
  196    Jun 2013   453829752320   112488036
  197    Aug 2013   500420412665   124812020
  198    Oct 2013   535842167741   130203205
  199    Dec 2013   556764321498   133818570
  200    Feb 2014   591378698544   139725795
  201    Apr 2014   621015432437   143446790
  202    Jun 2014   719581958743   175779064
  203    Aug 2014   774052098731   189080419
  204    Oct 2014   805549167708   196049974
  205    Dec 2014   848977922022   200301550
  206    Feb 2015   873281414087   205465046
  207    Apr 2015   969102906813   243779199
  208    Jun 2015  1038937210221   258702138
  209    Aug 2015  1163275601001   302955543
  210    Oct 2015  1222635267498   309198943
  211    Dec 2015  1297865618365   317122157
  212    Feb 2016  1399865495608   333012760
  213    Apr 2016  1452207704949   338922537
  214    Jun 2016  1556175944648   350278081
  215    Aug 2016  1637224970324   359796497
  216    Oct 2016  1676238489250   363213315
  217    Dec 2016  1817189565845   395301176
  218    Feb 2017  1892966308635   409490397
  219    Apr 2017  2035032639807   451840147
  220    Jun 2017  2164683993369   487891767
  221    Aug 2017  2242294609510   499965722
  222    Oct 2017  2318156361999   508825331
  223    Dec 2017  2466098053327   551063065
  224    Feb 2018  2608532210351   564286852
  225    Apr 2018  2784740996536   621379029
  226    Jun 2018  2944617324086   639804105
  227    Aug 2018  3204855013281   665309765
  228    Oct 2018  3444172142207   722438528
  229    Dec 2018  3656719423096   773773190
  230    Feb 2019  4164513961679   945019312
  231    Apr 2019  4421986382065   993732214
  232    Jun 2019  4847677297950  1022913321
  233    Aug 2019  5585922333160  1075272215
  234    Oct 2019  5985250251028  1097629174
  235    Dec 2019  6277551200690  1127023870
  236    Feb 2020  6968991265752  1206720688
  237    Apr 2020  7788133221338  1267547429
  238    Jun 2020  8114046262158  1302852615
  239    Aug 2020  8841649410652  1408122887
  240    Oct 2020  9215815569509  1432874252
  241    Dec 2020 11830842428018  1517995689
  242    Feb 2021 12270717209612  1563938043
  243    Apr 2021 12732048052023  1590670459
  244    Jun 2021 13442974346437  1632796606
  245    Aug 2021 13888187863722  1653427055
  246    Oct 2021 14599101574547  1721064101
  247    Dec 2021 14922033922302  1734664952
  248    Feb 2022 15428122140820  1750505007
  249    Apr 2022 16071520702170  1781374217
  250    Jun 2022 16710373006600  1796349114
  251    Aug 2022 17511809676629  2024099677
  252    Oct 2022 18231960808828  2167900306
  253    Dec 2022 19086596616569  2241439349
