Gene_name	Chromosome	Start	Stop	Strand
PAU9	2	7733	7605	-
SRO77	2	13879	10847	-
PKC1	2	17696	14241	-
RTG3	2	23535	22075	-
SFT2	2	24098	24745	+
ECM21	2	28299	24946	-
ATP1	2	37050	38687	+
BNA4	2	39142	40524	+
BRN1	2	40828	43092	+
ROX3	2	44915	44253	-
RPL32	2	45975	46367	+
SCS22	2	47177	46562	-
MAP2	2	48625	47360	-
MRP21	2	48822	49355	+
AVT5	2	49571	50950	+
TEL1	2	59379	51016	-
RPL23A	2	60735	59818	-
BOI1	2	63873	66815	+
CDC27	2	69442	67166	-
ALG3	2	71124	69748	-
PET112	2	74692	73067	-
NUP170	2	75256	79764	+
ATG8	2	80728	80375	-
ILS1	2	84259	81041	-
SSA3	2	86446	84497	-
AAR2	2	87787	86720	-
RPS8A	2	89123	88521	-
KTI11	2	89976	90224	+
AST1	2	90739	92028	+
PRS4	2	92412	93395	+
UBP13	2	95884	93641	-
SEF1	2	100117	96671	-
PRX1	2	101158	100373	-
KIP1	2	101888	105223	+
SKT5	2	107408	105318	-
YEL1	2	107934	109997	+
CMC2	2	110541	110127	-
SHP1	2	111439	112710	+
PTH2	2	113447	112803	-
PTC3	2	113765	115171	+
