Gene_name	Start	Stop	Length	Strand
PAU9	7733	7605	128	-
SRO77	13879	10847	3032	-
PKC1	17696	14241	3455	-
RTG3	23535	22075	1460	-
SFT2	24098	24745	647	+
ECM21	28299	24946	3353	-
ATP1	37050	38687	1637	+
BNA4	39142	40524	1382	+
BRN1	40828	43092	2264	+
ROX3	44915	44253	662	-
RPL32	45975	46367	392	+
SCS22	47177	46562	615	-
MAP2	48625	47360	1265	-
MRP21	48822	49355	533	+
AVT5	49571	50950	1379	+
TEL1	59379	51016	8363	-
RPL23A	60735	59818	917	-
BOI1	63873	66815	2942	+
CDC27	69442	67166	2276	-
ALG3	71124	69748	1376	-
PET112	74692	73067	1625	-
NUP170	75256	79764	4508	+
ATG8	80728	80375	353	-
ILS1	84259	81041	3218	-
SSA3	86446	84497	1949	-
AAR2	87787	86720	1067	-
RPS8A	89123	88521	602	-
KTI11	89976	90224	248	+
AST1	90739	92028	1289	+
PRS4	92412	93395	983	+
UBP13	95884	93641	2243	-
SEF1	100117	96671	3446	-
PRX1	101158	100373	785	-
KIP1	101888	105223	3335	+
SKT5	107408	105318	2090	-
YEL1	107934	109997	2063	+
CMC2	110541	110127	414	-
SHP1	111439	112710	1271	+
PTH2	113447	112803	644	-
PTC3	113765	115171	1406	+
